,"en","de","es","fr","ko","pl","pt","ru","zh","ja"
"ZoneBuildings","Zone Buildings","Zonengebäude","Edificios de zona","Bâtiments de zone","구역 건물","Budynki strefowe","Edifícios de zona","Зона Здания","区域建筑","区画の建物"
"ZoneDemand","Zone Demand","Zonenbedarf","Demanda de zona","Demande de zone","구역 수요","Zapotrzebowanie na strefy","Demanda de zona","Зона спроса","区域需求","区画の需要"
"Traffic","Traffic","Verkehr","Tráfico","Trafic","교통량","Ruch drogowy","Trânsito","Трафик","交通状况","交通"
"Pollution","Pollution","Verschmutzung","Contaminación","Pollution","오염도","Skażenie","Poluição","Загрязнение","污染","汚染"
"FireSafety","Fire Safety","Feuersicherheit","Servicio de bomberos","Sécurité incendie","화재 안전도","Bezpieczeństwo pożarowe","Segurança contra incêndios","Пожарная безопасность","消防安全","火災の危険度"
"Crime","Crime","Kriminalität","Criminalidad","Crime","범죄","Przestępczość","Crime","Преступность","犯罪","犯罪"
"PublicTransportation","Public Transportation","Nahverkehr","Transporte público","Transport public","대중 교통","Transport publiczny","Transporte público","Общественный транспорт","公共交通","公共交通"
"Population","Population","Bevölkerung","Población","Population","인구","Populacja","População","Население","人口","人口"
"Households","Households","Haushalte","Familias","Ménages","가구수","Gospodarstwa domowe","Residências","Семей","家庭数","世帯数"
"Employment","Employment","Anstellung","Empleo","Emplois","고용","Zatrudnienie","Emprego","Трудоустройство","就业","雇用状況"
"OutsideConnections","Outside Connections","Externe Verbindungen","Conexiones con el exterior","Connexions extérieure","외부 연결","Połączenia zewnętrzne","Conexões externas","Внешние соединения","外部连接","外部接続"
"LandValue","Land Value","Land Wert","Valor del terreno","Valeur foncière","토지 가격","Wartość gruntu","Valor de terreno","Ценность земли","土地价值","地価"
"NaturalResources","Natural Resources","Naturrohstoffe","Recursos naturales","Ressources naturelles","천연 자원","Zasoby naturalne","Recursos naturais","Природные ресурсы","自然资源","天然資源"
"Heating","Heating","Heizung","Calefacción","Chauffage","난방","Ogrzewanie","Aquecimento","Отопление","供暖","暖房"
"Tourism","Tourism","Tourismus","Turismo","Tourisme","관광사업","Turystyka","Turismo","Туризм","旅游业","観光"
"Tours","Tours","Touren","Visitas guiadas","Tournées","투어","Wycieczki","Passeios","Экскурсии","游览","ツアー"
"TaxRate","Tax Rate","Steuersatz","Tasa de impuesto","Taux d'imposition","세액","Wysokość podatku","Taxa de imposto","Ставка налога","税率","税率"
"CityEconomy","City Economy","Stadtwirtschaft","Economía de la ciudad","Économie de la ville","도시 경제","Gospodarka miejska","Economia da cidade","Город экономика","城市经济","都市経済"
"ResidentialIncome","Residential Income","Wohneinkommen","Ingresos residenciales","Revenu résidentiel","주거 소득","Dochód mieszkaniowy","Renda Residencial","Жилой доход","住宅收入","住宅地区の収入"
"CommercialIncome","Commercial Income","Gewerbliches Einkommen","Ingresos comerciales","Revenu commercial","상업 소득","Dochód komercyjny","Renda Comercial","Коммерческий доход","商业收入","商業地区の収入"
"IndustrialIncome","Industrial Income","Industrielles Einkommen","Ingresos industrial","Revenu industriel","산업 소득","Dochód przemysłowy","Renda Industrial","Промышленный доход","工业收入","産業地区の収入"
"OfficeIncome","Office Income","Büroeinkommen","Ingresos de oficina","Revenu de bureau","사무실 소득","Dochód biurowy","Renda do escritório","Офисный доход","办公室收入","オフィス地区の収入"
"TourismIncome","Tourism Income","Tourismuseinkommen","Ingresos por turismo","Revenu du tourisme","관광 소득","Dochód z turystyki","Renda Turismo","Доход от туризма","旅游收入","観光客の収入"
"ServiceExpenses","Service Expenses","Servicekosten","Gastos de servicio","Frais de services","서비스 비용","Koszty usługi","Despesas de Serviço","Расходы на обслуживание","服务成本","各サービスの費用"
"ParkAreas","Park Areas","Parkgebiete","Zonas de parque","Zones parc","공원 지역","Obszary parkowe","Áreas de parque","Парковые районы","公园区域","パークエリア"
"IndustryAreas","Industry Areas","Industriegebiete","Áreas industriales","Zones industrielles","산업 영역","Obszary przemysłowe","Áreas industriais","Промышленные районы","工业区","産業エリア"
"Fishing","Fishing","Angeln","Pesca","Faire de la pêche","어업","Wędkarstwo","Pescaria","Рыбная ловля","钓鱼","漁業"
"CampusAreas","Campus Areas","Campusgelände","Zonas de campus","Zones campus","캠퍼스 지역","Obszary kampusowe","Áreas de Campus","Территории кампусов","校园区域","キャンパスエリア"
"TransportEconomy","Transport Economy","Transport Wirtschaft","Economía del transporte","Économie des transports","운송 경제","Gospodarka transportowa","Economia de Transporte","Транспортное экономика","交通经济","公共交通の収支"
"GameLimits","Game Limits","Spiellimits","Límites del juego","Limites du jeu","게임 제한","Limity gra","Limites de jogo","Пределы игры","游戏限制","オブジェクトの制限"
